英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
sloth,懒惰,懶惰,ナマケモノ,përtaci,كسل,ስሎዝ,boşluq,sloth,libu,sloth,ленасць,ленивец,letidýr,lenistwo,slot,لکه,luiheid,dovendyr,Faultier,леность,la paresse,katamaran,laiskiainen,slot,ថើប,sloth,સુસ્તી,жұмбақ,paresseux,나태,raguwa,luiaard,барат,perezoso,mandros,lenochod,ಸೋಮಾರಿತನ,bradipo,lijenost,dirûşm,teporis torporibus,slinķis,sloth,Liūdna,Fauldéier,Lene,sloth,sloth,सुस्तपणा,മന്ദബുദ്ധി,sloth,мрзлив,toenga,Sloth,আলস্য,ပျင်းရိ,pw,sloth,isihluthulelo,स्लॉट,dovendyr,ਸੁਸਤ,preguiça,غوټۍ,kutaya,lättja,toso,слот,sloth,හෙලිවේ,maldolĉa,lenivosť,len,len,sloth,sloth,caajis,суст,బద్ధకం,சோம்பல்,ความเฉื่อยชา,tembellik,sloth,سلاٹ,смуток,siqilish,siqilish,עַצלוּת,νωθρότητα,hele,ٻلو,lajhár,sloth,ծուլություն,sloth,bradipo,סלאַט,आलस,sloth,kemalasan,sloth,sloth,lười biếng
snail,蜗牛,蝸牛,カタツムリ,kërmill,حلزون,snail,ilbiz,seilide,tigu,barraskiloa,слімак,охлюв,snigill,ślimak,puž,حلزون,slak,snegl,Schnecke,улитка,escargot,suso,etana,snail,ខ្យង,snail,ગોકળગાય,ұлулар,kalmason,달팽이,snail,slak,үлүл,caracol,cargol,hlemýžď,ಬಸವನ,babbaluciu,puž,şeytanok,cochlea,gliemezis,snail,sraigė,Wéngertsschleek,melc,snail,bebbuxu,गोगलगाय,നഖം,siput,полжав,toha,эмгэн,শামুক,ခရုပက်ကျိ,qwj,inkuni,inhlanzi,घृणा गर्नुहोस्,snegl,ਘੁਸਪੈਠ,Caracol,سست,nkhono,snigel,sosolo,пуж,snail,ගොළු බෙල්ලා,heliko,slimák,polž,polž,snail,snail,qumbaha,сандуқ,నత్త,நத்தை,หอยทาก,salyangoz,malwod,سست,равлика,salyangoz,salyangoz,שַׁבְּלוּל,σαλιγκάρι,kahe,ڇڏيل,csiga,snail,խխունջ,agwụ,lumaca,שנעק,घोंघा,keong,siput,kéwan,ìgbín,ốc sên
snake,蛇,蛇,ヘビ,gjarpër,ثعبان,እባብ,ilan,nathair,mao,suge,змея,змия,snákur,wąż,zmija,مار,slang,slange,Schlange,змея,serpent,ahas,käärme,slang,ពស់,გველი,સાપ,жылан,koulèv,뱀,maciji,slang,жылан,serpe,serp,had,ಹಾವು,serpente,zmija,mar,anguis,čūska,ງູ,gyvatė,Schlaang,şarpe,bibilava,serp,सर्प,പാമ്പ്,ular,змија,maoa,могой,সাপ,မွှေ,nab,inyoka,inyoka,सांप,slange,ਸੱਪ,serpente,سانپ,njoka,orm,gata,змија,noha,සර්පයා,serpento,had,kača,kača,nathair,bitin,abeeso,мор,పాము,பாம்பு,งู,yılan,neidr,سانپ,змія,ilon,ilon,נָחָשׁ,φίδι,snake,نانگ,kígyó,nyoka,օձը,agwọ,serpente,שלאַנג,साँप,oray,ular,snake,ejo,con rắn
squid,乌贼,烏賊,いか,kallamar,حبار,ስኩዊድ,kalamar,squid,kalmaar,txipiroi,кальмар,калмар,smokkfiskur,kałamarnica,lignje,ماهی مرکب,inkvis,blæksprutte,Tintenfisch,кальмар,calamar,pusit,kalmari,squid,មឹក,squid,સ્ક્વિડ,кальмар,kalma,오징어,squid,inktvis,кальмар,lula,calamar,oliheň,ಸ್ಕ್ವಿಡ್,calamar,lignja,masî mirekeb,lolligo,kalmārs,squid,kalmaras,squid,calamar,kalamara,klamari,स्क्विड,കണവ,cumi,лигњи,Tuhinga,далайн амьтан,স্কুইড,ရေဘဝဲ,squid,isikwati,squid,squid,akkar,ਵਿਅੰਗ,Lula,سکویډ,sikwidi,bläckfisk,squid,лигње,squid,දැල්ලා,kapo,kalmar,lignji,lignji,squid,squid,xajin,Калмар,స్క్విడ్,மீன் வகை,ปลาหมึก,kalamar,sgwid,سکواڈ,кальмар,Kalmar,Kalmar,דיונון,καλαμάρι,ala,اسڪواڊ,tintahal,squid,կաղամար,skwid,calamaro,טינטפיש,स्क्वीड,cumi,cumi-cumi,cumi,ti ipilẹ aimọ,mực ống
squirrel,松鼠,松鼠,リス,ketri,سنجاب,ስኩዊር,sincap,iora,orav,Urtxintxa,бялку,катерица,íkorna,wiewiórka,veverica,سنجاب,eekhoring,egern,Eichhörnchen,белка,écureuil,ardilya,orava,earm,កំប្រុក,ციყვი,ખિસકોલી,тұмсық,ekirèy,다람쥐,squirrel,eekhoorn,тыйын чычкан,esquilo,esquirol,veverka,ಅಳಿಲು,squirrel,vjeverica,sihorîk,inamabilis sciurus,vāvere,ກະຮອກ,voverė,Kaweechelchen,veveriţă,squirrel,iskojjattlu,खारट,തുരുത്ത്,tupai,верверица,Tuhinga o mua,хэрэм,কাঠবিড়াল,ရှသ့်,nas,squirrel,i-squirrel,गिलहरी,ekorn,ਗੰਢ,esquilo,ګیریلیل,gologololo,ekorre,squirrel,веверица,squirrel,ලේනුන්,sciuro,veverička,veverica,veverica,feòrag,squirrel,xawaaraha,сикка,ఉడుత,அணில்,กระรอก,sincap,wiwer,گلہری,білка,sincap,sincap,סנאי,σκίουρος,koa,گليئر,mókus,nguruve,սկյուռ,ugbo,scoiattolo,וועווערקע,गिलहरी,bajing,tupai,bajing,Okere,sóc
stingray,黄貂鱼,黃貂魚,スティングレイ,Stingray,اللادغة,ስፒንረይ,stingray,stingray,silmadega,Epaitegi,пахіл,скат,stingray,płaszczka,stingray,ستاره دار,stingray,pilrokke,Stachelrochen,морской скат,Stingray,stingray,keihäsrausku,stingray,stingray,stingray,સ્ટિંગ્રે,стинграй,stingray,가오리,suma,pijlstaartrog,Stingray,raiado,raig,Stingray,ಸ್ಟಿಂಗ್ರೇ,stingray,Stingray,stingray,stingray,stingray,stingray,stingray,gleeft,Stingray,Fay mpanindrona,stingray,स्टिंग्रे,തണ്ടുകൾ,stingray,зашеметеност,pupuhi,тарвага,stingray,stingray,stingray,stingray,stingray,स्टिंग्रे,rokke,ਸਟਿੰਗਰੇ,stingray,ټکی,stingray,stingrocka,pala,стинграи,stingray,ස්ට්රයිරේ,Stingray,Raja,stingray,stingray,stingray,stingray,dhirbaaxo,данд,స్టింగ్రే,ஸ்டிங்க்ரே,ปลากระเบนชายธง,vatoz,stingray,stingray,ската,stingray,stingray,טריגון,stingray,'opi,اسٽوريج,rája,stingray,stingray,na-agba,Stingray,סטינגרייַ,stingray,stingray,ikan pari,stingray,stingray,cá đuối
sunfish,翻车鱼,翻車魚,サンフィッシュ,Sunfish,سمكة,sunfish,günəbaxan,sunfish,päikesekala,sunfish,Санфиш,риба луна,sunfish,słoneczna ryba,suncokret,ماهی آفتابگردان,sonvis,klumpfisk,Sonnenfisch,Санфиш,poisson-lune,sunfish,aurinkoahven,sunfish,sunfish,sunfish,સૂર્યોદય,күнбағыс,sunfish,해파리,sunfish,sunfish,-lune,pez de sol,peix de sol,Sunfish,ಸೂರ್ಯನ ಮೀನು,sunfish,sunfish,şewitandin,Navarchus Piscem,sunfish,sunfish,Saulėgrąžos,gesin,sunfish,sunfish,xemx,सूर्यफूल,സൺഫിഷ്,sunfish,Сончевите риби,rarangi,наран загас,sunfish,sunfish,sunfish,sunfish,i-sunfish,सनफिश,sunfish,ਸਨਫਿਸ਼,peixe-sol,لمر,sunfish,sunfish,sunfish,сунфисх,sunfish,සීනුදලය,suna maro,Sunfish,sončna riba,sončna riba,grèine,sunfish,qorrax dhaca,офтобӣ,సన్ ఫిష్,sunfish,sunfish,güneş balığı,môr haul,سرفش,соняшник,sunfish,sunfish,דג שמש,ορθαγορίσκος,ka iʻa,سجدو,naphal,sunfish,sunfish,sunfish,sunfish,sunfish,sunfish,sunfish,ikan mas,sunfish,sunfish,sunfish
tarantula,狼蛛,狼蛛,タランチュラ,merimangë e madhe,عنكبوت ذئبي,ታርታለላ,tarantula,tarantula,tarantula,tarantula,тарантул,тарантул,tarantula,tarantula,tarantula,تارانتولا,tarantula,tarantel,Tarantel,тарантул,tarentule,tarantula,lintuhämähäkki,tarantula,tarantula,ტარტულა,દાંતાળું,тарантула,tarantula,타란툴라 거미,tarantula,tarantula,бөйөн,Tarantula,Tarantula,tarantule,ಟಾಂಟ್ಯುಲಾ,tarantula,tarantula,pilindir,tarantula,tarantula,tarantula,tarantula,Tarantel,tarantula,tarantula,tarantula,दरारालूट,തുരങ്കം,tarantula,тарантула,tarantula,tarantula,বিষাক্ত মাকড়সা,တာရန်တူလာကောင်,tarantula,i-tarantula,i-tarantula,tarantula,tarantell,ਟੌਰਟੁਲਾ,tarântula,توراتول,tarantula,tarantel,tarantula,тарантула,tarantula,ටරන්ජස්,tarantulo,Tarantula,tarantula,tarantula,tarantula,tarantula,tarantula,тарантула,సాలీడు,பெருஞ்சிலந்தியின்,แมงมุมพิษตัวใหญ่ชนิดหนึ่ง,tarantula,tarantula,ٹرانسلاولا,тарантула,tarantula,tarantula,טרנטולה,ταράντουλα,ke tarantula,قانوني رستو,tarantellapók,tarantula,tarantula,tarantula,tarantola,טאַראַנטשולאַ,टारेंटयुला,tarantula,Tarantula,tarantula,tarantula,tarantula
tardigrade,缓步类,緩步類,退屈,tardigrade,بطيء الخطو,ዘግይቶ ነበር,tardigrade,tardigrade,tardigrade,tardigrade,павольна перасоўваецца,ленивец,tardigrade,Niesporczaki,tardigrade,tardigrade,tardigrade,bjørnedyr,Bärtierchen,медленно передвигающийся,tardigrade,tardigrade,karhukaiset,tardigrade,tardigrade,tardigrade,તોડફોડ,tardigrade,tardigrade,냉기,lateigrade,tardigrade,tardigrade,tardigrade,tardigrade,tardigrade,ಟಾರ್ಡಿಗರೇಡ್,tardigrade,Dugoživci,tardigrade,tardigrade,tardigrade,tardigrade,tardigrade,Tardigrade,tardigrade,tardigrade,tardigrade,अतिक्रमण,ക്ഷമിക്കുക,tardigrade,tardigrade,lateigrade,tardigrade,tardigrade,tardigrade,sib tw,i-tardigrade,i-tardigrade,चकलेट,bjørnedyr,ਤਿਰਛਾ,tardigrade,خنډ,tardigrade,Tardigrade,laterarade,тардиграде,tardigrade,ටෑඩිගයිඩ්,maldika,Pomalky,tardigrade,tardigrade,tardigrade,tardigrade,gardarrada,тардид,tardigrade,மெல்ல நகர்கிற,Tardigrade,tardi,tardigrade,قدیمہ,tardigrade,tardigrade,tardigrade,טארדיגראדה,tardigrade,lālā,قدري,Medveállatkák,tardigrade,tardigrade,lateigrade,tardigrade,tardigrade,tardigrade,tardigrade,tardigrade,tardigrade,lateigrade,chậm trễ
tiger,虎,虎,虎,tigër,نمر,ነብር,pələng,Tíogair,tiiger,tigre,тыгр,тигър,tígrisdýr,Tygrys,tigar,ببر,tier,tiger,Tiger,тигр,tigre,tigre,tiikeri,tiger,ខ្លា,ვეფხვი,વાઘ,жолбарыс,tig,호랑이,tiger,tijger,жолборс,tigre,tigre,tygr,ಹುಲಿ,tigru,tigar,piling,tigris,tīģeris,tiger,tigras,Tiger,tigru,Tigra,tiger,वाघ,കടുവ,harimau,Тигар,tiger,бар,বাঘ,ကျား,Tsov,tiger,tiger,बाघ,tiger,ਬਾਘ,tigre,شير,tiger,tiger,tiger,тигар,nkoe,කොටි,tigro,tiger,tiger,tiger,tìgear,tigre,tuug,шер,పులి,புலி,เสือ,kaplan,tiger,چیتا,тигр,yo'lbars,yo'lbars,נָמֵר,τίγρη,kekini,شگر,tigris,tiger,վագր,agu,tigre,טיגער,बाघ,maung,harimau,macan,tiger,con hổ
trout,鳟鱼,鱒魚,マス,troftë,سمك السلمون المرقط,ትሪው,alabalıq,breac,forell,amuarrain,стронга,пъстърва,silungur,pstrąg,pastrmka,ماهی قزل آلا,forel,ørred,Forelle,форель,truite,trout,taimen,forel,trout,კალმახი,ટ્રાઉટ,бахтах,trout,송어,kwari,forel,форель,trucha,truita,pstruh,ಟ್ರೌಟ್,trota,pastrva,masî,Bull trout,forele,trout,upėtakis,Trout,păstrăv,atendro,troti,ट्राउट,പുഴമീൻ,trout,пастрмка,tohi,trout,ট্রাউট,ထရောက်ရေချိုငါး,trout,umqala,ithrawuthi,ट्राउटआउट,ørret,ਟਰਾਉਟ,truta,دسلمن دكورنۍ كب,nsomba ya trauti,Forell,toso,пастрмка,trout,ට්රයුට්,truto,pstruh,postrv,postrv,breac,trout,xayawaanka,гулмоҳӣ,ట్రౌట్,மீன்,ปลาเทราท์,alabalık,brithyll,ٹراؤنڈ,форель,gulmohi,gulmohi,פוֹרֶל,τρώκτης,kahe,ڦاٽي,pisztráng,trout,Իշխան,agha,trota,פאָרעל,ट्राउट,lauk trout,ikan trout,trout,ẹja,cá hồi
toucan,巨嘴鸟,巨嘴鳥,トカカク,Toucan,الطوقان طائر,ተክካን,toucan,toucan,Toucan,toucan,Тукан,Тукан,toucan,tukan,toucan,توکان,toekan,tukan,Tukan,тукан,toucan,toucan,tukaani,toucan,toucan,ტუხანი,ટુકન,тукан,toucan,큰 부리 새,toucan,toekan,Тукан,tucán,tucán,toucan,ಟಂಕನ್,toucan,tukan,toucan,toucan,Tukāns,toucan,Toucan,Toucan,Toucan,toucan,toucan,एक अमेरिकन पक्षी,ടൂക്കൺ,toucan,toucan,toucan,toucan,দীর্ঘচঁচু পাখী,toucan,toucan,toucan,i-toucan,toucan,toucan,ਟੂਕਨ,Toucan,ټیکان,toucan,toucan,toucan,тоуцан,toucan,ටුක්න්,Tukano,tukan,toucan,toucan,toucan,toucan,toucan,toucan,టుకాన్,பழம் தின்னும் பறவை,Toucan,tukan,toucan,ٹانکن,тукан,toucan,toucan,toucan,οπωροφάγο πτηνό με μέγα ράμφο,koucan,ٽانڪن,tukánmadár,toucan,տուան,toucan,tucano,toucan,टूकेन,toucan,toucan,toucan,toucan,toucan
turtle,龟,龜,カメ,breshkë,سلحفاة,ኤሊ,tısbağa,turtar,kilpkonn,dortoka,чарапаха,костенурка,skjaldbaka,żółw,kornjača,لاک پشت,skilpad,skildpadde,Schildkröte,черепаха,tortue,pagong,kilpikonna,skyldpod,អណ្តើក,კუს,ટર્ટલ,тасбақа,tòti,터틀,kaji,schildpad,таш бака,tartaruga,tortuga,želva,ಆಮೆ,turtle,kornjača,req,testudo graeca,bruņurupucis,ເຕົ່າ,vėžlys,Schildkröt,broasca testoasa,sokatra,Fekruna,कासव,ആമ,penyu,желка,whee,яст мэлхий,কচ্ছপ,ပင်လယ်လိပ်,vaub kib,ihote,i-tortle,कछुआ,skilpadde,ਕਛੂ,tartaruga,کچی,kamba,sköldpadda,laumei,корњача,turtle,කැස්බෑවා,testudo,korytnačka,želva,želva,turtar,pawikan,deymaha,дубора,తాబేలు,ஆமை,เต่า,kaplumbağa,crwban,کچھی,черепаха,kaplumbağa,kaplumbağa,צָב,χελώνα,ka laume,ڪمي,teknősbéka,turtle,կրիա,nduru,tartaruga,טשערעפּאַכע,कछुआ,penyu,penyu,penyu,Turtle,rùa
vampire bat,吸血蝙蝠,吸血蝙蝠,吸血コウモリ,vampir bat,مصاص دماء الخفافيش,ቫምፓየር ቢጫ,vampir bat,bata vampire,vampire bat,vampire bat,вампір,вампир прилеп,vampíru kylfu,nietoperz wampir,vampirski bat,خفاش خون آشام,vampier vlermuis,vampyrbat,Vampirfledermaus,летучая мышь вампир,chauve-souris vampire,bampirang paniki,vampyyrilepakko,vampire bat,បិសាចបិសាច,vampire bat,વેમ્પાયર બેટ,вампир жартысы,vanpir baton,뱀파이어 박쥐,kota mai shafewa,vampier vleermuis,Vampire жарганат,vampiro bat,bat de vampirs,upír netopýr,ರಕ್ತಪಿಶಾಚಿ ಬ್ಯಾಟ್,vampire bat,vampirski šišmiš,vampire bat,vampire vespertilio,vampīru nūja,vampire bat,vampyro šikšnosparnis,Vampir bat,liliac vampir,vampire bat,vampire bat,व्हॅम्पायर बॅट,വാമ്പയർ ബാറ്റ്,vampire bat,вампир лилјак,potae vampire,цус сорогч Бат,রক্তচোষা বাদুড়,သွေးစုပ်ဖုတ်ကောင်လင်းနို့,vampire puav,ibhetri yevampire,i-vampire bat,पिशाच बैट,vampyr flaggermus,ਪਿਸ਼ਾਚ ਬੈਟ,vampiro morcego,ویمپیر بټ,vampire bat,vampyrfladdermus,vampire bat,вампирски бат,batse ba vampire,වම්පස පට්ටිය,vampiro murciélago,upír netopier,Vampirski bat,Vampirski bat,ialt vampire,vampire bat,boodhka vampire,вампир,వాంపైర్ బ్యాట్,காட்டேரி பேட்,ค้างคาวแวมไพร์,vampir yarasa,ystlum fampir,ویمپائر بیٹ,вампіра бита,vampir halqasi,vampir halqasi,עטלף ערפד,βαμπίρ νυχτερίδα,ke kī,ویمپائر بيٽنگ,vámpír denevér,vampire bat,վամպիր բաթ,ugbo vampire,pipistrello vampiro,וואַמפּיר פלעדערמויז,लोगों व पशुओं का रक्त चूसने वाला चमगादड़,vampir bat,kelelawar vampir,vampire bat,bọọlu vampire,dơi hút máu
wallaby,袋鼠,袋鼠,ワラビー,kangur i vogël,الولب,ግድግዳ,Wallaby,wallaby,wallaby,wallaby,кенгуру,дребна порода кенгуру,Wallaby,wallaby,wallaby,wallaby,Wallaby,wallaby,Wallaby,кенгуру,wallaby,wallaby,wallaby,wallaby,wallaby,კედელი,દિવાલ,wallaby,wallaby,왈라비,wallaby,kleine kangoeroe,Кенгуру,wallaby,wallaby,wallaby,ಗೋಡೆಯ ಪಟ್ಟಿ,wallaby,wallaby,dîwar,wallaby,Wallaby,wallaby,Wallaby,wallaby,Wallaby,wallaby,wallaby,भिंती,വാൾബൈ,wallaby,wallaby,wallaby,wallaby,অপেক্ষাকৃত ক্ষুদ্রকায় ক্যাঙ্গারূ,wallaby,phab ntsa,wallaby,u-wallaby,wallaby,wallaby,ਕੰਬਣੀ,wallaby,دیوال,wallaby,vallaby,wallaby,валлаби,wallaby,වෝල්බඩි,wallaby,klokan wallaby,Wallaby,Wallaby,Wallaby,wallaby,wallab,девор,వాల్లాబేను,wallaby,ออสซี่,valabi,wallaby,دیوار,валлабі,Wallaby,Wallaby,"""וולאבי""",μικρή κάγκουρο,wallaby,ڀت,wallaby kenguru,wallaby,Wallaby- ը,wallaby,wallaby,wallaby,आस्ट्रेलियन,wallaby,wallaby,wallaby,wallaby,wallaby
walrus,海象,海象,海洋生物,lopë deti,حصان البحر,ዌልዝ,mələk,walrus,Walrus,walrus,морж,морж,hvalir,mors,mor,دریایی,walrus,hvalros,Walross,морж,morse,walrus,mursu,walrus,walrus,კაკალი,વાલરસ,морж,mawon,해마,walrus,walrus,морж,morsa,morsa,mrož,ವಾಲ್ರಸ್,walrus,morž,hespê derya,vitulisque marinis,valrieksts,walrus,uolos,Walrus,morsă,walrus,walrus,वॉलरस,വാൽസുരക്ഷ,walrus,морж,Tuhinga o mua,самар,সিন্ধুঘোটক,ပင်လယ်ဖျံကြီး,walrus,walrus,walrus,walrus,hvalross,ਵਾਲਰਸ,morsa,واالرس,walrus,valross,talo,мор,walrus,හිම වලසුන්,muro,mrož,morilec,morilec,each-mara,walrus,walrus,гулзор,వాల్రస్,கடற்குதிரை,ช้างน้ำ,mors,walrus,والس,морж,mo'ylov,mo'ylov,סוּס יָם,θαλάσσιος ίππος,hele,وولس,rozmár,walrus,մոլախոտ,walrus,tricheco,walrus,वालरस,walrus,anjing laut,walrus,Walrus,loài hải mã
warthog,疣猪,疣豬,ワトグ,derr i egër afrikan,الخنزير,wartog,Warthog,warthog,sõdalane,Warthog,бородавочник,африкански глиган,warthog,Guziec,warthog,جادوگر,vlakvark,vortesvin,Warzenschwein,бородавочник,phacochère,warthog,pahkasika,warthog,warthog,warthog,વૉર્થગ,warthog,warthog,멧돼지,Warthog,wrattenzwijn,сөөлдүү доңуз,warthog,warthog,warthog,ವಾರ್ಥೋಗ್,warthog,bradavičava svinja,warthog,warthog,warthog,warthog,warthog,Warthog,Warthog,warthog,warthog,वार्थोग,മയക്കുമരുന്ന്,warthog,warthog,warthog,warthog,warthog,warthog,warthog,warthog,i-warthog,warthog,warthog,warthog,javali,جنګیګ,warthog,warthog,vaʻavaʻa,вартхог,warthog,ඩී,warthog,ošípaná bradavičnaté,Warthog,Warthog,s an Iar-,warthog,dagaalka,офтоб,చెత్త,மரு,หมู,yabandomuzu,warthog,جنگجو,бородавочник,warthog,warthog,חזיר יבלות,warthog,warthog,جنگجو,varacskos disznó,warthog,պատերազմ,warthog,Facocero,וואַרטהאָג,warthog,warthog,warthog,warthog,warthog,warthog
whale,鲸,鯨,鯨,balenë,حوت,ዓሣ ነባሪ,balina,whale,vaala,balea,кіт,кит,hvalur,wieloryb,kit,نهنگ,walvis,hval,Wal,кит,baleine,whale,valas,walfisk,ត្រីបាឡែន,ვეშაპი,વ્હેલ,кит,balèn,고래,whale,walvis,кит,ballena,balena,velryba,ತಿಮಿಂಗಿಲ,balena,kit,balîne,balæna,vaļi,whale,banginis,Whales,balenă,Whale,balieni,व्हेल,തിമിംഗലം,ikan paus,кит,tohorā,халим,তিমি,ဝေလငါး,whale,whale,i-whale,व्हेल,hval,ਵ੍ਹੇਲ ਮੱਛੀ,baleia,ویلی,whale,val,faga,Кит,whale,තල්මහ,baleno,veľryba,kit,kit,muc-mhara,balyena,kalluunka,калий,వేల్,திமிங்கலங்கள்,วาฬ,balina,morfil,وہیل,кит,balina,balina,לוויתן,φάλαινα,whale,وهن,bálna,whale,կետ,whale,balena,ווייל,असमान बात,lauk paus,ikan paus,whale,ẹja,cá voi
wolf,狼,狼,狼,ujk,الذئب,ተኩላ,canavar,mac tíre,hunt,otso,воўк,вълк,úlfur,Wilk,vuk,گرگ,wolf,ulv,Wolf,волк,Loup,lobo,susi,wolf,ចចក,მგელი,વરુ,қасқыр,bèt nan bwa,늑대,kullin,wolf,карышкыр,lobo,llop,vlk,ತೋಳ,lupu,vuk,gûr,lupus,vilks,wolf,vilkas,Wollef,lup,amboadia,lupu,लांडगा,ചെന്നായ,serigala,волк,wolf,чоно,নেকড়ে,ဝံပုလွေ,hma,ingcuka,impisi,ब्वाँसो,ulv,ਬਘਿਆੜ,Lobo,وږی,wolf,Varg,luko,вук,phiri,වෘකයෙක්,lupo,vlk,volk,volk,madadh-allaidh,lobo,yeyda,гург,తోడేలు,ஓநாய்,หมาป่า,Kurt,Blaidd,بھیڑیا,вовк,bo'ri,bo'ri,זְאֵב,λύκος,wolf,ٻرندڙ,farkas,wolf,գայլը,wolf,lupo,וואָלף,भेड़िया,ajag,serigala,serigala,Ikooko,chó sói
wolverine,狼獾,狼獾,ウルヴァリン,wolverine,ولفيرين,wolverine,wolverine,wolverine,Wolverine,wolverine,расамаха,Върколак,wolverine,rosomak,wolverine,سرخدار,veelvraat,jærv,Vielfraß,Росомаха,carcajou,wolverine,ahma,wolverine,wolverine,wolverine,વોલ્વરાઈન,волверин,glouton,울버린,wariyar launin fata,wolverine,росомахи,carballo,wolverine,Rosomák,ವೊಲ್ವೆರಿನ್,wolverine,žderavac,wolverine,wolverine,āmrija,wolverine,Wolverine,Wolverine,omul lup,wolverine,wolverine,वॉल्व्हरिन,വോൾവെലൈൻ,wolverine,wolverine,wuruhi,wolverine,Wolverine,wolverine,wolverine,i-wolverine,wolverine,wolverine,jerv,ਵਾਲਵਰੀਨ,wolverine,وولورین,wolverine,järv,luko,волверине,wolverine,ලොක්කා,wolverino,Rosomák,wolverine,wolverine,Wolverine,wolverine,Wolverine,Волверин,వోల్వరైన్,வால்வரினானது,ตัววูลเฝอรีน,wolverine,wolverine,والولین,росомаха,wolverine,wolverine,זְאֵבוֹן זוֹלֵל,σαρκοφάγο ζώο του βορρά,kauā,وولورين,torkosborz,wolverine,wolverine,agụ nwanyị,ghiottone,וואָלווערינע,Wolverine,wolverine,wolverine,wolverine,wolii,chồn sương
yak,牦,犛,ヤク,jak,ثور التبيت,yak,yak,yak,jak,yak,як,як,branco,jak,jak,یكی,yak,yak,Yak,як,yak,yak,jäkättää,yak,yak,იაკ,યાક,жал,Yak,야크,yak,jak,топоз,yak,yak,yak,ಯಕ್,yak,jak,yak,IOCOR,jaks,yak,jakas,iak,iac,Yak,Yak,याक,യാക്ക്,yak,јак,yak,сарлаг,চমর,တောင်ပေါ်,yak,yak,yak,याक,yak,ਯਾਕ,iaque,اوک,yak,jak,yak,иак,yak,යක්,yak,yak,jak,jak,yak,yak,yak,Чандрасонаӣ,యాక్,யாக்,จามรี,yak,yak,یاک,як,yak,yak,יאק,βους του Θιβέτ ή των ινδίων,yak,يڪ,jak,yak,yak,yak,yak,יאַק,याक,yak,yak,yak,yak,yak
zebra,斑马,斑馬,シマウマ,zebër,الحمار الوحشي,ዚባ,zebra,seabra,zebra,zebra,зебра,зебра,zebra,zebra,zebra,گورخر,sebras,zebra,Zebra,зебра,zèbre,zebra,seepra,zebra,សេហបង្កង់,ზებრა,ઝેબ્રા,зебра,zèb,얼룩말,zebra,zebra,зебра,cebra,zebra,zebra,ಜೀಬ್ರಾ,zebra,zebra,hespê belek,horse,zebra,zebra,zebra,zebra,zebră,zebra,zebra,झेब्रा,സീബ്ര,zebra,зебра,zebra,тахө,জেব্রা,မြင်းကျား,nees nkaum,idiza,i-zebra,जिब्रा,sebra,ਜ਼ੈਬਰਾ,zebra,زبرا,zebra,zebra,zebra,зебра,liqoaha,සිඹ්රා,zebro,zebra,zebra,zebra,zebra,zebra,gabayga,зебра,జీబ్రా,வரிக்குதிரை,ม้าลาย,zebra,sebra,زبرا,зебра,zopakda,zopakda...,זֶבּרָה,ζέβρα,zebra,زيبرا,zebra,zebra,ԶԵԲՐԱ,zebra,zebra,זעברע,ज़ेबरा,zebra,zebra,zebra,zebra,ngựa rằn
